Car_Name,Car_Brand,Year,Transmission,Mileage,Price
Aston-Martin Db11,Aston-Martin,2018,Automatic,14000,9000000
Audi A4,Audi,2009,Automatic,48000,650000
Audi A4,Audi,2013,Automatic,12345,1095000
Audi A4,Audi,2016,Automatic,12000,1350000
Audi A4,Audi,2016,Automatic,12852,1450000
Audi A4,Audi,2016,Automatic,17000,1598000
Audi A4,Audi,2020,Automatic,12699,2088000
Audi A6,Audi,2011,Automatic,47000,1500000
Audi Q2,Audi,2018,Automatic,31000,1400000
Audi Q3,Audi,2020,Automatic,15000,2588000
Audi Q5,Audi,2020,Automatic,26500,2500000
Audi Q5,Audi,2018,Automatic,22227,2900000
Audi Q5,Audi,2009,Automatic,111700,3500000
Audi Q8,Audi,2021,Automatic,20000,6980000
Audi R8,Audi,2011,Automatic,40000,5200000
Audi Rsq8,Audi,2021,Automatic,1000,1350000
Bentley Continental,Bentley,2019,Automatic,6000,18500000
Bentley Flying,Bentley,2020,Automatic,400,24000000
Bentley Flying Spur,Bentley,2014,Automatic,3800,11500000
Bentley Flying Spur,Bentley,2014,Automatic,3000,11800000
BMW 118D,BMW,2013,Automatic,14000,738000
BMW 118D,BMW,2013,Automatic,1000,1900000
BMW 118I,BMW,2007,Automatic,40000,465000
BMW 118I,BMW,2018,Automatic,20000,1628000
BMW 118I,BMW,2018,Automatic,16000,1680000
BMW 120D,BMW,2014,Automatic,30123,1308000
BMW 120D,BMW,2014,Automatic,30000,1308000
BMW 218i,BMW,2018,Automatic,56000,1718000
BMW 316I,BMW,1995,Manual,190000,200000
BMW 318D,BMW,2016,Automatic,30000,395000
BMW 318D,BMW,2014,Automatic,33000,1188000
BMW 318D,BMW,2014,Automatic,60000,1200000
BMW 318D,BMW,2014,Automatic,60297,1267500
BMW 318D,BMW,2016,Automatic,30000,1398000
BMW 318D,BMW,2016,Automatic,30000,1448000
BMW 318I,BMW,2012,Automatic,70000,588000
BMW 318I,BMW,2010,Automatic,70000,638000
BMW 318I,BMW,2012,Automatic,76000,658000
BMW 320D,BMW,2017,Automatic,23435,1938300
BMW 320I,BMW,2008,Automatic,45000,558000
BMW 323,BMW,1999,Automatic,88000,288000
BMW 520D,BMW,2007,Automatic,33000,678000
BMW 520D,BMW,2014,Automatic,48000,1398000
BMW 520D,BMW,2016,Automatic,77000,1880000
BMW 520D,BMW,2016,Automatic,28000,1950000
BMW 520D,BMW,2016,Automatic,78016,1980000
BMW 520D,BMW,2016,Automatic,6000,1995000
BMW 520D,BMW,2017,Automatic,40000,2058000
BMW 520D,BMW,2018,Automatic,2300,3500000
BMW 520D,BMW,2018,Automatic,2000,3698000
BMW 520i,BMW,2004,Automatic,50000,570000
BMW 520i,BMW,2021,Automatic,7000,3254800
BMW 520i,BMW,2022,Automatic,4500,3850000
BMW 730D,BMW,2010,Automatic,38000,1500000
BMW E46,BMW,2002,Automatic,130000,418000
BMW E90,BMW,2012,Automatic,60000,695000
BMW M2,BMW,2019,Automatic,6000,4350000
BMW M4,BMW,2021,Automatic,832,7950000
BMW X1,BMW,2017,Automatic,39000,1788000
BMW X1,BMW,2017,Automatic,37000,1988000
BMW X1,BMW,2018,Automatic,20000,2180000
BMW X1,BMW,2018,Automatic,20096,2200000
BMW X1,BMW,2020,Automatic,24000,2298000
BMW X2,BMW,2018,Automatic,24000,2548000
BMW X2,BMW,2018,Automatic,24000,2598000
BMW X2,BMW,2018,Automatic,24000,2698000
BMW X2,BMW,2018,Automatic,24000,2748000
BMW X2,BMW,2018,Automatic,24000,2798000
BMW X3,BMW,2009,Automatic,12345,695000
BMW X3,BMW,2016,Automatic,49546,1848000
BMW X3,BMW,2021,Automatic,19833,3553500
BMW X4,BMW,2018,Automatic,29000,2800000
BMW X5,BMW,2003,Automatic,558000,588000
BMW X5,BMW,2008,Automatic,12345,795000
BMW X5,BMW,2009,Automatic,13000,2000000
BMW X5,BMW,2015,Automatic,13400,2700000
BMW X5,BMW,2016,Automatic,16400,3000000
BMW X5,BMW,2019,Automatic,46607,3499000
BMW X5,BMW,2020,Automatic,30000,4750000
BMW X6,BMW,2014,Automatic,40000,2680000
BMW X6,BMW,2022,Automatic,5000,7990000
BMW X7,BMW,2021,Automatic,109,8034000
BMW Z4,BMW,2010,Automatic,20000,2250000
BMW Z4,BMW,2019,Automatic,8000,3980000
BMW Z4,BMW,2022,Automatic,5000,4200000
BMW Z4,BMW,2021,Automatic,2000,5598000
Cadillac Escalade,Cadillac,2017,Automatic,20000,5888000
Cadillac Escalade,Cadillac,2017,Automatic,20000,6558000
Cadillac Escalade,Cadillac,2020,Automatic,7700000,7700000
Cadillac Escalade,Cadillac,2020,Automatic,12000,8888000
Cadillac Escalade,Cadillac,2022,Automatic,11000,11300000
Changan Alsvin,Changan,2022,Manual,12000,358000
Changan Alsvin,Changan,2022,Manual,9000,368000
Changan Alsvin,Changan,2022,Manual,9730,438000
Changan Cs75,Changan,2021,Automatic,5400,920000
Changan Cs75,Changan,2023,Automatic,15000,1379000
Chery Tiggo,Chery,2020,Automatic,12000,535000
Chery Tiggo,Chery,2020,Automatic,15000,548000
Chery Tiggo,Chery,2022,Automatic,7000,1258000
Chery Tiggo,Chery,2022,Automatic,7000,1288000
Chery Tiggo,Chery,2022,Automatic,6600,1550000
Chevrolet Aveo,Chevrolet,2012,Manual,126808,210000
Chevrolet Camaro,Chevrolet,2012,Automatic,34312,2006550
